name,color,size,price_sale,price
4121 FLIP FLOPS NEON,RED FLUO LOGO,36,10.50,35.00
4121 FLIP FLOPS NEON,RED FLUO LOGO,37,10.50,35.00
4121 FLIP FLOPS NEON,RED FLUO LOGO,38,10.50,35.00
4121 FLIP FLOPS NEON,RED FLUO LOGO,39,10.50,35.00
4121 FLIP FLOPS NEON,RED FLUO LOGO,40,10.50,35.00
4121 FLIP FLOPS NEON,RED FLUO LOGO,41,10.50,35.00
4121 FLIP FLOPS NEON,RED FLUO LOGO,42,10.50,35.00
4121 FLIP FLOPS NEON,RED FLUO LOGO,43,10.50,35.00
4121 FLIP FLOPS NEON,RED FLUO LOGO,44,10.50,35.00
4121 FLIP FLOPS NEON,RED FLUO LOGO,45,10.50,35.00
4121 FLIP FLOPS NEON,RED FLUO LOGO,46,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,35,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,36,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,37,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,38,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,39,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,40,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,41,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,42,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,43,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,44,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,45,10.50,35.00
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,46,10.50,35.00
