Lombardia
CALZATURE CARRARA S.n.c.
CONTIGO - MARIOTTI S.r.l.
PENELOPE - STELLA S.a.s.
2C CALZATURE - SUPERMERCATO DELLA CALZATURA
MASTER S.r.l.
SPATTI CALZATURE
3B - BELOTTI CALZATURE
3B - BELOTTI CALZATURE
RIVA CALZATURE
RIVA CALZATURE
GALANT S.a.s.
MOMENTO S.r.l.
MOMENTO S.r.l.
OSCAR S.a.s.
KAMMI LODI ELE CALZATURE
IN SCARPA
IN SCARPA PER LEI
IN SCARPA S.R.L.
AVERSA SHOES
TENDENZE CALZATURE - NIMAT
SPORTIT - BRICOSPORT
DANIEL & SPORT S.a.s.
TENDENZE CALZATURE - LUDE
MILLEPIEDI S.a.s.
BOTTAZZO S.a.s. - KAMMI
BOTTAZZO S.a.s. - KAMMI CALZATURE MILANO
CALZATURE VALASSINA
CONTIGO - MARIOTTI S.r.l.
CONTIGO - MARIOTTI S.r.l.
CONTIGO - MARIOTTI S.r.l.
AEMME S.R.L.
CHECK POINT S.P.A.
DALZOPPO CALZATURE
F.LLI BRUNO CALZATURE s.r.l.
KAMMI - VINSER S.A.S.
KAMMI - VINSER S.A.S.
KAMMI DI SCARAMUZZI - ESSE TRE S.R.L.
KAMMI TIRANO - ESSE TRE S.R.L.
MILLEPIEDI S.a.s.
LANDINI CALZATURE
Emilia-Romagna
CALZATURE GIORGIO
DELTASCARPE - SCAGLIARINI S.R.L.
TAITA' - SCAGLIARINI S.R.L.
DELTASCARPE - SCAGLIARINI S.R.L.
KO'SS SHOES - SCAGLIARINI S.R.L.
TAITA' - SCAGLIARINI S.R.L.
KAMMI DI BURANI FLORIANA
CAMMINANDO SRL
STEP BY STEP CALZATURE
STEP BY STEP CALZATURE
STEP BY STEP CALZATURE
CLUB Calzature Reggio Emilia
Toscana
BAQUE' S.r.l.
BAQUE' S.r.l.
SPINELLI GIANNI CALZ.
CALZATURE CINI
FANTASY SHOES
FROSINI S.a.s.
ORME E FORME - KAT SRL
Umbria
GALEOTTI sas
4P CALZATURE S.r.l.
ENZO SHOES - CENTRO MODA SRL
Liguria
VAMP CALZATURE S.A.S.
DANIELE SNC
RAINERI ERNESTO S.a.s.
RAINERI MICHELA
VAMP CALZATURE S.A.S.
VAMP CALZATURE S.A.S.
VAMP CALZATURE S.A.S.
VAMP CALZATURE S.A.S.
CONTIGO - MARIOTTI S.r.l.
KAMMI - TILDE
IVO S.N.C. di Bombonati S. & C.
IETRI & BRIBO' - KAMMI
F.LLI NOBILI snc
Friuli-Venezia Giulia
SCARPERIA - G. STAR
CENTRO SCARPA - SHOE RETAIL
SCARPERIA - G. STAR
CENTRO SCARPA - SHOE RETAIL
Sardegna
TACCO D'ORO - AL.MA. SHOES
LA PELLE
