name,color,size,price_sale,price,category
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,46,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,35,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,36,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,37,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,38,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,39,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,40,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,41,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,42,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,43,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,44,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,45,10.5,35,infradito 
4121 FLIP FLOPS NEON,RED FLUO LOGO,46,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,35,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,36,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,37,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,38,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,39,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,40,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,41,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,42,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,43,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,44,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,45,10.5,35,infradito 
4121 FLIP FLOPS NEON,YELLOW FLUO LOGO,46,10.5,35,infradito 
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,35,,105,stivaletti
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,36,,105,stivaletti
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,37,,105,stivaletti
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,38,,105,stivaletti
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,39,,105,stivaletti
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,40,,105,stivaletti
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,41,,105,stivaletti
3051 ALPINA APEX HIGH,TOTAL BEIGE NATURAL,42,,105,stivaletti
3051 ALPINA APEX HIGH,TOTAL BLACK,35,,105,stivaletti
