# CSV-File created with merge-csv.com
# -----------------------------------------------------------

name,color,size,price_sale,price,category
Ciabatta 800,d6d0da,36,,44,sandali
Ciabatta 800,d6d0da,38,,44,sandali
Ciabatta 800,d6d0da,39,,44,sandali
Ciabatta 800,eec4ab,36,,44,sandali
Ciabatta 800,eec4ab,38,,44,sandali
Ciabatta 800,eec4ab,39,,44,sandali
Ciabatta 800,d6d0da,37,,44,sandali
Ciabatta 800,d6d0da,40,,44,sandali
Ciabatta 800,eec4ab,37,,44,sandali
Ciabatta 800,eec4ab,40,,44,sandali
Sandalo 720-56,FFFFFF,40,,47.92,sandali
Sandalo 720-56,0,40,,47.92,sandali
Sandalo 720-56,f5d7b3,40,,47.92,sandali
Ciabatta 271,0,36,,63.92,sandali
Ciabatta 271,0,37,,63.92,sandali
Ciabatta 271,CD7F32,36,,63.92,sandali
Ciabatta 271,CD7F32,37,,63.92,sandali
Ciabatta 271,786153,36,,63.92,sandali
Ciabatta 271,786153,37,,63.92,sandali
Ciabatta 271,eec4ab,36,,63.92,sandali
Ciabatta 271,eec4ab,37,,63.92,sandali
Ciabatta 271,0,38,,63.92,sandali
Ciabatta 271,0,39,,63.92,sandali
Ciabatta 271,0,40,,63.92,sandali
Ciabatta 271,0,41,,63.92,sandali
Ciabatta 271,CD7F32,38,,63.92,sandali
Ciabatta 271,CD7F32,39,,63.92,sandali
Ciabatta 271,CD7F32,40,,63.92,sandali
Ciabatta 271,CD7F32,41,,63.92,sandali
Ciabatta 271,786153,38,,63.92,sandali
Ciabatta 271,786153,39,,63.92,sandali
Ciabatta 271,786153,40,,63.92,sandali
Ciabatta 271,786153,41,,63.92,sandali
Ciabatta 271,eec4ab,38,,63.92,sandali
Ciabatta 271,eec4ab,39,,63.92,sandali
Ciabatta 271,eec4ab,40,,63.92,sandali
Ciabatta 271,eec4ab,41,,63.92,sandali
Ciabatta new D,1f2839,39,,25,sandali
Ciabatta new D,1f2839,40,,25,sandali
Ciabatta new D,e80980,39,,25,sandali
Ciabatta new D,e80980,40,,25,sandali
Ciabatta new D,eec4ab,39,,25,sandali
Ciabatta new D,eec4ab,40,,25,sandali
Ciabatta new D,026f38,39,,25,sandali
Ciabatta new D,026f38,40,,25,sandali
Ciabatta new D,955ea7,39,,25,sandali
Ciabatta new D,955ea7,40,,25,sandali
Ciabatta new D,1f2839,38,,25,sandali
Ciabatta new D,e80980,38,,25,sandali
Ciabatta new D,eec4ab,38,,25,sandali
Ciabatta new D,026f38,38,,25,sandali
Ciabatta new D,955ea7,38,,25,sandali
Ciabatta new D,1f2839,36,,25,sandali
Ciabatta new D,1f2839,37,,25,sandali
Ciabatta new D,e80980,36,,25,sandali
Ciabatta new D,e80980,37,,25,sandali
Ciabatta new D,eec4ab,36,,25,sandali
Ciabatta new D,eec4ab,37,,25,sandali
Ciabatta new D,026f38,36,,25,sandali
Ciabatta new D,026f38,37,,25,sandali
Ciabatta new D,955ea7,36,,25,sandali
Ciabatta new D,955ea7,37,,25,sandali
Ciabatta 407,fed700,37,,36,sandali
Ciabatta 407,fed700,39,,36,sandali
Ciabatta 407,fed700,40,,36,sandali
Ciabatta 407,fed700,41,,36,sandali
Ciabatta 407,026f38,37,,36,sandali
Ciabatta 407,026f38,39,,36,sandali
Ciabatta 407,026f38,40,,36,sandali
Ciabatta 407,026f38,41,,36,sandali
Ciabatta 407,fed700,36,,36,sandali
Ciabatta 407,fed700,38,,36,sandali
Ciabatta 407,026f38,36,,36,sandali
Ciabatta 407,026f38,38,,36,sandali
Sandalo 137,d6d0da,36,,63.92,sandali
Sandalo 137,d6d0da,37,,63.92,sandali
Sandalo 137,d6d0da,38,,63.92,sandali
Sandalo 137,d6d0da,39,,63.92,sandali
Sandalo 137,d6d0da,40,,63.92,sandali
Sandalo 137,eec4ab,36,,63.92,sandali
Sandalo 137,eec4ab,37,,63.92,sandali
Sandalo 137,eec4ab,38,,63.92,sandali
Sandalo 137,eec4ab,39,,63.92,sandali
Sandalo 137,eec4ab,40,,63.92,sandali
Sandalo 137,d6d0da,35,,63.92,sandali
Sandalo 137,eec4ab,35,,63.92,sandali
Sandalo 803,FFFFFF,37,,44,sandali
Sandalo 803,786153,37,,44,sandali
Sandalo 803,FFFFFF,38,,44,sandali
Sandalo 803,FFFFFF,39,,44,sandali
Sandalo 803,FFFFFF,40,,44,sandali
Sandalo 803,786153,38,,44,sandali
Sandalo 803,786153,39,,44,sandali
Sandalo 803,786153,40,,44,sandali
Sandalo 0204,786153,37,,47.92,sandali
Sandalo 0204,786153,38,,47.92,sandali
Sandalo 0204,786153,39,,47.92,sandali
Sandalo 0204,786153,40,,47.92,sandali
Sandalo 0204,CD7F32,37,,47.92,sandali
Sandalo 0204,CD7F32,38,,47.92,sandali
Sandalo 0204,CD7F32,39,,47.92,sandali
Sandalo 0204,CD7F32,40,,47.92,sandali
Sandalo 0204,786153,36,,47.92,sandali
Sandalo 0204,786153,41,,47.92,sandali
Sandalo 0204,CD7F32,36,,47.92,sandali
Sandalo 0204,CD7F32,41,,47.92,sandali
Sandalo 6800,eec4ab,41,,60,sandali
Sandalo 6800,ac8e83,41,,60,sandali
Sandalo 6800,0,41,,60,sandali
Sandalo 6800,CD7F32,41,,60,sandali
Sandalo 3800,fc0729,39,,68,sandali
Sandalo 3800,0,39,,68,sandali
Sandalo 3800,ac8e83,39,,68,sandali
Sandalo 3800,FFFFFF,39,,68,sandali
Sneakers 82066,d6d0da,36,,105,scarpebasse
Sneakers 82066,d6d0da,39,,105,scarpebasse
Sneakers 82066,026f38,36,,105,scarpebasse
Sneakers 82066,026f38,39,,105,scarpebasse
Sneakers 82066,d6d0da,37,,105,scarpebasse
Sneakers 82066,d6d0da,40,,105,scarpebasse
Sneakers 82066,026f38,37,,105,scarpebasse
Sneakers 82066,026f38,40,,105,scarpebasse
Sneaker Marina,CD7F32,35,,109,scarpebasse
Sneaker Marina,CD7F32,39,,109,scarpebasse
Sneaker Marina,CD7F32,41,,109,scarpebasse
Sneaker Marina,eec4ab,35,,109,scarpebasse
Sneaker Marina,eec4ab,39,,109,scarpebasse
Sneaker Marina,eec4ab,41,,109,scarpebasse
Sneaker Marina,CD7F32,37,,109,scarpebasse
Sneaker Marina,eec4ab,37,,109,scarpebasse
Sneakers 8100,FFFFFF,36,,95,scarpebasse
Sneakers 8100,FFFFFF,37,,95,scarpebasse
Sneakers 8100,FFFFFF,39,,95,scarpebasse
Sneakers 8100,FFFFFF,40,,95,scarpebasse
Sneakers 8100,1f2839,36,,95,scarpebasse
Sneakers 8100,1f2839,37,,95,scarpebasse
Sneakers 8100,1f2839,39,,95,scarpebasse
Sneakers 8100,1f2839,40,,95,scarpebasse
Sneakers 8100,e80980,36,,95,scarpebasse
Sneakers 8100,e80980,37,,95,scarpebasse
